run_id,measured_at,language,benchmark,cpu_carbon_rapl_msr_component-package_0-ug,cpu_energy_rapl_msr_component-package_0-uj,disk_total_read_cgroup_container-c_container-bytes,disk_total_read_cgroup_container-cpp_container-bytes,disk_total_read_cgroup_container-csharp_container-bytes,disk_total_read_cgroup_container-dart_container-bytes,disk_total_read_cgroup_container-erlang_container-bytes,disk_total_read_cgroup_container-fsharp_container-bytes,disk_total_read_cgroup_container-go_container-bytes,disk_total_read_cgroup_container-haskell_container-bytes,disk_total_read_cgroup_container-java_container-bytes,disk_total_read_cgroup_container-lua_container-bytes,disk_total_read_cgroup_container-node_container-bytes,disk_total_read_cgroup_container-ocaml_container-bytes,disk_total_read_cgroup_container-perl_container-bytes,disk_total_read_cgroup_container-php_container-bytes,disk_total_read_cgroup_container-python_container-bytes,disk_total_read_cgroup_container-ruby_container-bytes,disk_total_read_cgroup_container-rust_container-bytes,disk_total_read_cgroup_container-swift_container-bytes,disk_total_write_cgroup_container-c_container-bytes,disk_total_write_cgroup_container-cpp_container-bytes,disk_total_write_cgroup_container-csharp_container-bytes,disk_total_write_cgroup_container-dart_container-bytes,disk_total_write_cgroup_container-erlang_container-bytes,disk_total_write_cgroup_container-fsharp_container-bytes,disk_total_write_cgroup_container-go_container-bytes,disk_total_write_cgroup_container-haskell_container-bytes,disk_total_write_cgroup_container-java_container-bytes,disk_total_write_cgroup_container-lua_container-bytes,disk_total_write_cgroup_container-node_container-bytes,disk_total_write_cgroup_container-ocaml_container-bytes,disk_total_write_cgroup_container-perl_container-bytes,disk_total_write_cgroup_container-php_container-bytes,disk_total_write_cgroup_container-python_container-bytes,disk_total_write_cgroup_container-ruby_container-bytes,disk_total_write_cgroup_container-rust_container-bytes,disk_total_write_cgroup_container-swift_container-bytes,embodied_carbon_share_machine-system-ug,memory_carbon_rapl_msr_component-dram_0-ug,memory_energy_rapl_msr_component-dram_0-uj,network_carbon_formula_global-formula-ug,network_energy_formula_global-formula-uj,network_power_formula_global-formula-mw,network_total_cgroup_container-c_container-bytes,network_total_cgroup_container-cpp_container-bytes,network_total_cgroup_container-csharp_container-bytes,network_total_cgroup_container-dart_container-bytes,network_total_cgroup_container-erlang_container-bytes,network_total_cgroup_container-fsharp_container-bytes,network_total_cgroup_container-go_container-bytes,network_total_cgroup_container-haskell_container-bytes,network_total_cgroup_container-java_container-bytes,network_total_cgroup_container-lua_container-bytes,network_total_cgroup_container-node_container-bytes,network_total_cgroup_container-ocaml_container-bytes,network_total_cgroup_container-perl_container-bytes,network_total_cgroup_container-php_container-bytes,network_total_cgroup_container-python_container-bytes,network_total_cgroup_container-ruby_container-bytes,network_total_cgroup_container-rust_container-bytes,network_total_cgroup_container-swift_container-bytes,phase_time_syscall_system-system-us
0ef3bb91-f317-46d9-b042-95348cbc6e0b,2026-05-10 15:57:38,cpp,mandelbrot,2378,25627496,,221184,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,1596,52,562127,0,0,0,,0,,,,,,,,,,,,,,,,,1112418
c669fafa-2907-4dc9-88cc-d18e105bbd23,2026-05-10 15:54:39,cpp,fasta,3486,37573052,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,2062,90,973747,0,0,0,,0,,,,,,,,,,,,,,,,,1436783
902ffee4-182f-4fd0-8d64-5430b204443c,2026-05-10 15:51:28,cpp,spectral-norm,1027,11071654,,221184,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,665,15,156919,0,0,0,,0,,,,,,,,,,,,,,,,,463255
59ec9eec-a1c7-47c0-ab33-efa000665545,2026-05-10 15:48:40,cpp,regex-redux,2805,30235649,,51200000,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,1972,74,796625,0,0,0,,0,,,,,,,,,,,,,,,,,1374099
7aa9add0-d44a-4672-bd62-3aaa3abcb5e3,2026-05-10 15:45:49,cpp,n-body,3417,36831897,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,3391,69,738457,26,283811,0,,1920,,,,,,,,,,,,,,,,,2363452
e594d2f6-9d83-4160-9482-e3c9ac3ed310,2026-05-10 15:42:59,cpp,k-nucleotide,570,6144223,,25419776,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,789,42,454465,0,0,0,,0,,,,,,,,,,,,,,,,,549629
cb4a89d5-0ef8-4a54-96a6-bdcf52aec3e5,2026-05-10 15:40:07,cpp,fannkuch-redux,34472,371556953,,0,,,,,,,,,,,,,,,,,,135168,,,,,,,,,,,,,,,,,33327,621,6694891,34,365111,0,,2470,,,,,,,,,,,,,,,,,23226845
9fade004-8195-4f3d-a166-fc60fa946556,2026-05-10 15:36:55,cpp,binary-trees,3584,38629198,,241664,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,3630,127,1372670,0,0,0,,0,,,,,,,,,,,,,,,,,2529592
6ad665a2-c034-45e7-852a-40cce5976fe7,2026-05-10 15:34:02,cpp,mandelbrot,2417,26052423,,221184,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,1543,52,556452,0,0,0,,0,,,,,,,,,,,,,,,,,1075417
3fe2f8cf-7959-45d6-aab5-b2bde432be09,2026-05-10 15:31:01,cpp,fasta,3499,37715813,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,2033,90,974602,1,13599,0,,92,,,,,,,,,,,,,,,,,1416677
5bb4e1ba-58e4-4fc7-922e-279ab29731d9,2026-05-10 15:27:52,cpp,spectral-norm,1287,13870785,,221184,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,883,20,215269,0,0,0,,0,,,,,,,,,,,,,,,,,615561
b779fe80-4438-4c50-a561-fc0f94f94ea5,2026-05-10 15:25:03,cpp,regex-redux,2812,30312554,,51200000,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,1989,77,833793,0,0,0,,0,,,,,,,,,,,,,,,,,1386439
