run_id,measured_at,language,benchmark,cpu_carbon_rapl_msr_component-package_0-ug,cpu_energy_rapl_msr_component-package_0-uj,disk_total_read_cgroup_container-c_container-bytes,disk_total_read_cgroup_container-cpp_container-bytes,disk_total_read_cgroup_container-csharp_container-bytes,disk_total_read_cgroup_container-dart_container-bytes,disk_total_read_cgroup_container-erlang_container-bytes,disk_total_read_cgroup_container-fsharp_container-bytes,disk_total_read_cgroup_container-go_container-bytes,disk_total_read_cgroup_container-haskell_container-bytes,disk_total_read_cgroup_container-java_container-bytes,disk_total_read_cgroup_container-lua_container-bytes,disk_total_read_cgroup_container-node_container-bytes,disk_total_read_cgroup_container-ocaml_container-bytes,disk_total_read_cgroup_container-perl_container-bytes,disk_total_read_cgroup_container-php_container-bytes,disk_total_read_cgroup_container-python_container-bytes,disk_total_read_cgroup_container-ruby_container-bytes,disk_total_read_cgroup_container-rust_container-bytes,disk_total_read_cgroup_container-swift_container-bytes,disk_total_write_cgroup_container-c_container-bytes,disk_total_write_cgroup_container-cpp_container-bytes,disk_total_write_cgroup_container-csharp_container-bytes,disk_total_write_cgroup_container-dart_container-bytes,disk_total_write_cgroup_container-erlang_container-bytes,disk_total_write_cgroup_container-fsharp_container-bytes,disk_total_write_cgroup_container-go_container-bytes,disk_total_write_cgroup_container-haskell_container-bytes,disk_total_write_cgroup_container-java_container-bytes,disk_total_write_cgroup_container-lua_container-bytes,disk_total_write_cgroup_container-node_container-bytes,disk_total_write_cgroup_container-ocaml_container-bytes,disk_total_write_cgroup_container-perl_container-bytes,disk_total_write_cgroup_container-php_container-bytes,disk_total_write_cgroup_container-python_container-bytes,disk_total_write_cgroup_container-ruby_container-bytes,disk_total_write_cgroup_container-rust_container-bytes,disk_total_write_cgroup_container-swift_container-bytes,embodied_carbon_share_machine-system-ug,memory_carbon_rapl_msr_component-dram_0-ug,memory_energy_rapl_msr_component-dram_0-uj,network_carbon_formula_global-formula-ug,network_energy_formula_global-formula-uj,network_power_formula_global-formula-mw,network_total_cgroup_container-c_container-bytes,network_total_cgroup_container-cpp_container-bytes,network_total_cgroup_container-csharp_container-bytes,network_total_cgroup_container-dart_container-bytes,network_total_cgroup_container-erlang_container-bytes,network_total_cgroup_container-fsharp_container-bytes,network_total_cgroup_container-go_container-bytes,network_total_cgroup_container-haskell_container-bytes,network_total_cgroup_container-java_container-bytes,network_total_cgroup_container-lua_container-bytes,network_total_cgroup_container-node_container-bytes,network_total_cgroup_container-ocaml_container-bytes,network_total_cgroup_container-perl_container-bytes,network_total_cgroup_container-php_container-bytes,network_total_cgroup_container-python_container-bytes,network_total_cgroup_container-ruby_container-bytes,network_total_cgroup_container-rust_container-bytes,network_total_cgroup_container-swift_container-bytes,phase_time_syscall_system-system-us
eea5ab19-3527-4fa6-8539-33ab74b56a53,2026-05-08 16:28:34,csharp,mandelbrot,6970,75130910,,,0,,,,,,,,,,,,,,,,,,65536,,,,,,,,,,,,,,,,3189,84,900440,0,0,0,,,0,,,,,,,,,,,,,,,,2222245
8cb442fe-4a8b-4645-a388-0ac59b102a0f,2026-05-08 16:25:18,csharp,fasta,3907,42111871,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,2167,143,1546072,0,0,0,,,0,,,,,,,,,,,,,,,,1510315
19287cdb-bda9-4feb-ac89-e55be6bf7539,2026-05-08 16:21:51,csharp,spectral-norm,1425,15362057,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,884,23,246640,0,0,0,,,0,,,,,,,,,,,,,,,,616219
f8f87ba5-aa86-4a4b-8476-97e8dfec7341,2026-05-08 16:18:36,csharp,regex-redux,8649,93223250,,,50835456,,,,,,,,,,,,,,,,,,61440,,,,,,,,,,,,,,,,4068,136,1470753,0,0,0,,,0,,,,,,,,,,,,,,,,2835120
9df4d64a-a48f-4ba4-a417-8722c893b64f,2026-05-08 16:15:26,csharp,n-body,5722,61671913,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,6301,122,1315233,0,0,0,,,0,,,,,,,,,,,,,,,,4391008
3d1bf326-0c78-4d11-ac32-e519844f0568,2026-05-08 16:12:17,csharp,k-nucleotide,936,10091611,,,25419776,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,995,57,613887,0,0,0,,,0,,,,,,,,,,,,,,,,693636
73b8baf1-9f99-414e-a9d4-842bce812988,2026-05-08 16:09:10,csharp,fannkuch-redux,17930,193254372,,,0,,,,,,,,,,,,,,,,,,24576,,,,,,,,,,,,,,,,7540,146,1576520,0,0,0,,,0,,,,,,,,,,,,,,,,5254908
fbad3313-29f6-42d3-98fc-68c40f9a6a87,2026-05-08 16:05:58,csharp,binary-trees,12603,135843353,,,0,,,,,,,,,,,,,,,,,,81920,,,,,,,,,,,,,,,,8281,956,10307647,0,0,0,,,0,,,,,,,,,,,,,,,,5771004
1936f69e-5568-41cd-a34f-c442434fe8d2,2026-05-08 16:02:32,csharp,mandelbrot,6920,74588918,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,3175,80,860034,0,0,0,,,0,,,,,,,,,,,,,,,,2213053
7e1be0b3-337b-464c-be17-b380ca8b39f9,2026-05-08 15:59:10,csharp,fasta,3826,41240103,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,2195,141,1520926,0,0,0,,,0,,,,,,,,,,,,,,,,1529642
