run_id,measured_at,language,benchmark,cpu_carbon_rapl_msr_component-package_0-ug,cpu_energy_rapl_msr_component-package_0-uj,disk_total_read_cgroup_container-c_container-bytes,disk_total_read_cgroup_container-cpp_container-bytes,disk_total_read_cgroup_container-csharp_container-bytes,disk_total_read_cgroup_container-dart_container-bytes,disk_total_read_cgroup_container-erlang_container-bytes,disk_total_read_cgroup_container-fsharp_container-bytes,disk_total_read_cgroup_container-go_container-bytes,disk_total_read_cgroup_container-haskell_container-bytes,disk_total_read_cgroup_container-java_container-bytes,disk_total_read_cgroup_container-lua_container-bytes,disk_total_read_cgroup_container-node_container-bytes,disk_total_read_cgroup_container-ocaml_container-bytes,disk_total_read_cgroup_container-perl_container-bytes,disk_total_read_cgroup_container-php_container-bytes,disk_total_read_cgroup_container-python_container-bytes,disk_total_read_cgroup_container-ruby_container-bytes,disk_total_read_cgroup_container-rust_container-bytes,disk_total_read_cgroup_container-swift_container-bytes,disk_total_write_cgroup_container-c_container-bytes,disk_total_write_cgroup_container-cpp_container-bytes,disk_total_write_cgroup_container-csharp_container-bytes,disk_total_write_cgroup_container-dart_container-bytes,disk_total_write_cgroup_container-erlang_container-bytes,disk_total_write_cgroup_container-fsharp_container-bytes,disk_total_write_cgroup_container-go_container-bytes,disk_total_write_cgroup_container-haskell_container-bytes,disk_total_write_cgroup_container-java_container-bytes,disk_total_write_cgroup_container-lua_container-bytes,disk_total_write_cgroup_container-node_container-bytes,disk_total_write_cgroup_container-ocaml_container-bytes,disk_total_write_cgroup_container-perl_container-bytes,disk_total_write_cgroup_container-php_container-bytes,disk_total_write_cgroup_container-python_container-bytes,disk_total_write_cgroup_container-ruby_container-bytes,disk_total_write_cgroup_container-rust_container-bytes,disk_total_write_cgroup_container-swift_container-bytes,embodied_carbon_share_machine-system-ug,memory_carbon_rapl_msr_component-dram_0-ug,memory_energy_rapl_msr_component-dram_0-uj,network_carbon_formula_global-formula-ug,network_energy_formula_global-formula-uj,network_power_formula_global-formula-mw,network_total_cgroup_container-c_container-bytes,network_total_cgroup_container-cpp_container-bytes,network_total_cgroup_container-csharp_container-bytes,network_total_cgroup_container-dart_container-bytes,network_total_cgroup_container-erlang_container-bytes,network_total_cgroup_container-fsharp_container-bytes,network_total_cgroup_container-go_container-bytes,network_total_cgroup_container-haskell_container-bytes,network_total_cgroup_container-java_container-bytes,network_total_cgroup_container-lua_container-bytes,network_total_cgroup_container-node_container-bytes,network_total_cgroup_container-ocaml_container-bytes,network_total_cgroup_container-perl_container-bytes,network_total_cgroup_container-php_container-bytes,network_total_cgroup_container-python_container-bytes,network_total_cgroup_container-ruby_container-bytes,network_total_cgroup_container-rust_container-bytes,network_total_cgroup_container-swift_container-bytes,phase_time_syscall_system-system-us
bbccff80-4099-43a4-ad7d-96e52ecb0c31,2026-05-13 23:27:02,dart,mandelbrot,14782,159324313,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,8012,172,1850195,0,0,0,,,,0,,,,,,,,,,,,,,,5583875
7acc1b72-486e-4e69-9167-88717d4800ae,2026-05-13 23:24:10,dart,fasta,7174,77323046,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,5238,179,1924786,11,121211,0,,,,820,,,,,,,,,,,,,,,3650619
8f669508-1e7b-49a1-b680-c21ad59291e5,2026-05-13 23:21:09,dart,spectral-norm,1833,19761593,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,980,21,227170,0,0,0,,,,0,,,,,,,,,,,,,,,682962
7569ec64-90a6-43ad-b00a-8810e34be798,2026-05-13 23:18:28,dart,regex-redux,14351,154684413,,,,50835456,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,10589,296,3187640,0,0,0,,,,0,,,,,,,,,,,,,,,7379761
216bb7f1-bc4d-4536-822a-740659a593ba,2026-05-13 23:15:41,dart,n-body,6616,71306801,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,6432,124,1337937,0,0,0,,,,0,,,,,,,,,,,,,,,4482922
ba887b58-3525-41c3-bbb5-851ca033efae,2026-05-13 23:12:57,dart,k-nucleotide,2404,25915946,,,,25419776,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,2379,143,1538994,0,0,0,,,,0,,,,,,,,,,,,,,,1658211
f09f2d71-31bd-4c38-bb60-90aac7f4d06e,2026-05-13 23:10:16,dart,fannkuch-redux,39304,423633372,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,15537,299,3217374,0,0,0,,,,0,,,,,,,,,,,,,,,10828319
f09dc1f0-fc29-4627-ae49-0a8ca648b675,2026-05-13 23:07:25,dart,binary-trees,17709,190874148,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,16914,1933,20838923,0,0,0,,,,0,,,,,,,,,,,,,,,11788127
ed469de6-c88d-417e-97d6-22dd772c06b7,2026-05-13 23:04:32,dart,mandelbrot,14610,157478424,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,7936,170,1835671,0,0,0,,,,0,,,,,,,,,,,,,,,5530628
1ce88b71-b645-4024-8204-3df2cca5768a,2026-05-13 23:01:27,dart,fasta,7136,76917708,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,5235,182,1964091,0,0,0,,,,0,,,,,,,,,,,,,,,3648719
