run_id,measured_at,language,benchmark,cpu_carbon_rapl_msr_component-package_0-ug,cpu_energy_rapl_msr_component-package_0-uj,disk_total_read_cgroup_container-c_container-bytes,disk_total_read_cgroup_container-cpp_container-bytes,disk_total_read_cgroup_container-csharp_container-bytes,disk_total_read_cgroup_container-dart_container-bytes,disk_total_read_cgroup_container-erlang_container-bytes,disk_total_read_cgroup_container-fsharp_container-bytes,disk_total_read_cgroup_container-go_container-bytes,disk_total_read_cgroup_container-haskell_container-bytes,disk_total_read_cgroup_container-java_container-bytes,disk_total_read_cgroup_container-lua_container-bytes,disk_total_read_cgroup_container-node_container-bytes,disk_total_read_cgroup_container-ocaml_container-bytes,disk_total_read_cgroup_container-perl_container-bytes,disk_total_read_cgroup_container-php_container-bytes,disk_total_read_cgroup_container-python_container-bytes,disk_total_read_cgroup_container-ruby_container-bytes,disk_total_read_cgroup_container-rust_container-bytes,disk_total_read_cgroup_container-swift_container-bytes,disk_total_write_cgroup_container-c_container-bytes,disk_total_write_cgroup_container-cpp_container-bytes,disk_total_write_cgroup_container-csharp_container-bytes,disk_total_write_cgroup_container-dart_container-bytes,disk_total_write_cgroup_container-erlang_container-bytes,disk_total_write_cgroup_container-fsharp_container-bytes,disk_total_write_cgroup_container-go_container-bytes,disk_total_write_cgroup_container-haskell_container-bytes,disk_total_write_cgroup_container-java_container-bytes,disk_total_write_cgroup_container-lua_container-bytes,disk_total_write_cgroup_container-node_container-bytes,disk_total_write_cgroup_container-ocaml_container-bytes,disk_total_write_cgroup_container-perl_container-bytes,disk_total_write_cgroup_container-php_container-bytes,disk_total_write_cgroup_container-python_container-bytes,disk_total_write_cgroup_container-ruby_container-bytes,disk_total_write_cgroup_container-rust_container-bytes,disk_total_write_cgroup_container-swift_container-bytes,embodied_carbon_share_machine-system-ug,memory_carbon_rapl_msr_component-dram_0-ug,memory_energy_rapl_msr_component-dram_0-uj,network_carbon_formula_global-formula-ug,network_energy_formula_global-formula-uj,network_power_formula_global-formula-mw,network_total_cgroup_container-c_container-bytes,network_total_cgroup_container-cpp_container-bytes,network_total_cgroup_container-csharp_container-bytes,network_total_cgroup_container-dart_container-bytes,network_total_cgroup_container-erlang_container-bytes,network_total_cgroup_container-fsharp_container-bytes,network_total_cgroup_container-go_container-bytes,network_total_cgroup_container-haskell_container-bytes,network_total_cgroup_container-java_container-bytes,network_total_cgroup_container-lua_container-bytes,network_total_cgroup_container-node_container-bytes,network_total_cgroup_container-ocaml_container-bytes,network_total_cgroup_container-perl_container-bytes,network_total_cgroup_container-php_container-bytes,network_total_cgroup_container-python_container-bytes,network_total_cgroup_container-ruby_container-bytes,network_total_cgroup_container-rust_container-bytes,network_total_cgroup_container-swift_container-bytes,phase_time_syscall_system-system-us
8968fa72-5567-4182-9944-77448916d2b0,2026-05-14 13:12:10,fsharp,mandelbrot,9961,107358936,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,4443,106,1146471,0,0,0,,,,,,0,,,,,,,,,,,,,3096353
d653b50f-8d23-47de-ac23-42ce7bf76a76,2026-05-14 13:09:16,fsharp,fasta,3897,42007439,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,2241,130,1404350,0,0,0,,,,,,0,,,,,,,,,,,,,1561499
7b3c8ca8-b8a1-4e81-90d6-a580648cf8b2,2026-05-14 13:05:59,fsharp,spectral-norm,1811,19524289,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,1025,23,248348,0,0,0,,,,,,0,,,,,,,,,,,,,714291
06cc783a-8b37-419b-9a5e-4639d3fbf0f1,2026-05-14 13:03:10,fsharp,regex-redux,4107,44267203,,,,,,50835456,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,2716,117,1257801,0,0,0,,,,,,0,,,,,,,,,,,,,1893112
05fd8511-896d-4abd-8a18-d0c5120b732f,2026-05-14 13:00:05,fsharp,n-body,4533,48857224,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,3975,80,858816,0,0,0,,,,,,0,,,,,,,,,,,,,2769947
e6d1bb41-14ba-4268-8636-d758982526c0,2026-05-14 12:57:15,fsharp,k-nucleotide,1526,16449276,,,,,,25419776,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,1079,32,340634,0,0,0,,,,,,0,,,,,,,,,,,,,751787
25b19ed2-cefa-450c-b968-7efb6e2b542b,2026-05-14 12:54:19,fsharp,fannkuch-redux,22219,239484464,,,,,,0,,,,,,,,,,,,,,,,,,77824,,,,,,,,,,,,,9641,188,2025368,0,0,0,,,,,,0,,,,,,,,,,,,,6718746
8d3299a9-6635-4be1-8c4c-59485a03d8aa,2026-05-14 12:51:23,fsharp,binary-trees,40063,431813486,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,32939,2541,27390521,18,189799,0,,,,,,1284,,,,,,,,,,,,,22955793
07b1b1aa-f332-4aa8-8437-4a8fea9662c8,2026-05-14 12:48:04,fsharp,mandelbrot,9950,107244979,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,4411,106,1142136,8,81300,0,,,,,,550,,,,,,,,,,,,,3074234
cc62ec5d-a9e6-4564-ab55-edcdc5c63856,2026-05-14 12:45:08,fsharp,fasta,3915,42201042,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,2218,131,1415948,0,0,0,,,,,,0,,,,,,,,,,,,,1545687
54953538-d037-460f-9234-ede4caac9e69,2026-05-14 12:42:06,fsharp,spectral-norm,1788,19267819,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,1022,24,255796,0,0,0,,,,,,0,,,,,,,,,,,,,712406
c1fa6c98-f750-4986-bdd6-7ae547401d9e,2026-05-14 12:39:10,fsharp,regex-redux,4251,45814017,,,,,,50835456,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,2845,119,1284535,0,0,0,,,,,,0,,,,,,,,,,,,,1982849
b0bd007b-618d-4caa-8ca6-01834471699e,2026-05-14 12:36:20,fsharp,n-body,4535,48879747,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,3979,81,874685,0,0,0,,,,,,0,,,,,,,,,,,,,2772979
085077ab-2973-4566-9d59-60c5600a7467,2026-05-14 12:33:29,fsharp,k-nucleotide,1702,18340023,,,,,,25419776,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,1139,31,337704,0,0,0,,,,,,0,,,,,,,,,,,,,793484
