run_id,measured_at,language,benchmark,cpu_carbon_rapl_msr_component-package_0-ug,cpu_energy_rapl_msr_component-package_0-uj,disk_total_read_cgroup_container-c_container-bytes,disk_total_read_cgroup_container-cpp_container-bytes,disk_total_read_cgroup_container-csharp_container-bytes,disk_total_read_cgroup_container-dart_container-bytes,disk_total_read_cgroup_container-erlang_container-bytes,disk_total_read_cgroup_container-fsharp_container-bytes,disk_total_read_cgroup_container-go_container-bytes,disk_total_read_cgroup_container-haskell_container-bytes,disk_total_read_cgroup_container-java_container-bytes,disk_total_read_cgroup_container-lua_container-bytes,disk_total_read_cgroup_container-node_container-bytes,disk_total_read_cgroup_container-ocaml_container-bytes,disk_total_read_cgroup_container-perl_container-bytes,disk_total_read_cgroup_container-php_container-bytes,disk_total_read_cgroup_container-python_container-bytes,disk_total_read_cgroup_container-ruby_container-bytes,disk_total_read_cgroup_container-rust_container-bytes,disk_total_read_cgroup_container-swift_container-bytes,disk_total_write_cgroup_container-c_container-bytes,disk_total_write_cgroup_container-cpp_container-bytes,disk_total_write_cgroup_container-csharp_container-bytes,disk_total_write_cgroup_container-dart_container-bytes,disk_total_write_cgroup_container-erlang_container-bytes,disk_total_write_cgroup_container-fsharp_container-bytes,disk_total_write_cgroup_container-go_container-bytes,disk_total_write_cgroup_container-haskell_container-bytes,disk_total_write_cgroup_container-java_container-bytes,disk_total_write_cgroup_container-lua_container-bytes,disk_total_write_cgroup_container-node_container-bytes,disk_total_write_cgroup_container-ocaml_container-bytes,disk_total_write_cgroup_container-perl_container-bytes,disk_total_write_cgroup_container-php_container-bytes,disk_total_write_cgroup_container-python_container-bytes,disk_total_write_cgroup_container-ruby_container-bytes,disk_total_write_cgroup_container-rust_container-bytes,disk_total_write_cgroup_container-swift_container-bytes,embodied_carbon_share_machine-system-ug,memory_carbon_rapl_msr_component-dram_0-ug,memory_energy_rapl_msr_component-dram_0-uj,network_carbon_formula_global-formula-ug,network_energy_formula_global-formula-uj,network_power_formula_global-formula-mw,network_total_cgroup_container-c_container-bytes,network_total_cgroup_container-cpp_container-bytes,network_total_cgroup_container-csharp_container-bytes,network_total_cgroup_container-dart_container-bytes,network_total_cgroup_container-erlang_container-bytes,network_total_cgroup_container-fsharp_container-bytes,network_total_cgroup_container-go_container-bytes,network_total_cgroup_container-haskell_container-bytes,network_total_cgroup_container-java_container-bytes,network_total_cgroup_container-lua_container-bytes,network_total_cgroup_container-node_container-bytes,network_total_cgroup_container-ocaml_container-bytes,network_total_cgroup_container-perl_container-bytes,network_total_cgroup_container-php_container-bytes,network_total_cgroup_container-python_container-bytes,network_total_cgroup_container-ruby_container-bytes,network_total_cgroup_container-rust_container-bytes,network_total_cgroup_container-swift_container-bytes,phase_time_syscall_system-system-us
a5974ece-b1e5-438d-b4db-0e180c5eaa44,2026-05-12 15:16:27,java,mandelbrot,10017,107967696,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,4458,109,1175521,0,0,0,,,,,,,,,0,,,,,,,,,,3107238
87484b33-95ef-4edf-a4ae-2a777055aa07,2026-05-12 15:12:59,java,fasta,4067,43833242,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,2269,106,1141594,0,0,0,,,,,,,,,0,,,,,,,,,,1581550
d3b377f6-2c34-4c2f-a7ef-d92284a42ada,2026-05-12 15:09:22,java,spectral-norm,2136,23021052,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,1369,29,314631,0,0,0,,,,,,,,,0,,,,,,,,,,954351
b6bfdcc8-9fdc-4606-846c-a2d35341db2e,2026-05-12 15:05:54,java,regex-redux,27538,296813608,,,,,,,,,50835456,,,,,,,,,,,,,,,,,,0,,,,,,,,,,15896,399,4304875,26,283811,0,,,,,,,,,1920,,,,,,,,,,11078059
03701c59-a2e5-4e49-b147-3e7b4bf830fe,2026-05-12 15:02:25,java,n-body,6157,66367902,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,5629,113,1216474,0,0,0,,,,,,,,,0,,,,,,,,,,3922666
94df5606-aba1-497b-b07e-ad29dddb82ca,2026-05-12 14:58:56,java,k-nucleotide,1488,16033932,,,,,,,,,25419776,,,,,,,,,,,,,,,,,,0,,,,,,,,,,1015,33,351314,0,0,0,,,,,,,,,0,,,,,,,,,,707189
fe0f6066-e605-459a-9353-3b1c5c8efcaa,2026-05-12 14:55:34,java,fannkuch-redux,33768,363964613,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,13382,256,2754063,0,0,0,,,,,,,,,0,,,,,,,,,,9326095
76d76800-16c6-4bfb-9f64-30eaa1a2a72f,2026-05-12 14:52:05,java,binary-trees,11888,128136423,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,14704,1609,17345283,0,0,0,,,,,,,,,0,,,,,,,,,,10247563
ef6264ab-734d-4e55-8361-9af4b2b63dc8,2026-05-12 14:48:35,java,mandelbrot,10013,107922895,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,4419,105,1129807,0,0,0,,,,,,,,,0,,,,,,,,,,3079550
b23fe349-02da-4ba0-a199-7869c8248932,2026-05-12 14:45:07,java,fasta,4066,43821829,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,2292,105,1132071,0,0,0,,,,,,,,,0,,,,,,,,,,1597613
9af08979-a6c0-44a3-a890-4f039b59439e,2026-05-12 14:41:28,java,spectral-norm,2095,22585629,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,1234,29,312983,0,0,0,,,,,,,,,0,,,,,,,,,,860157
e9edda43-6b34-4600-8300-4fca78861860,2026-05-12 14:38:07,java,regex-redux,28247,304459113,,,,,,,,,50835456,,,,,,,,,,,,,,,,,,0,,,,,,,,,,16023,400,4306214,0,0,0,,,,,,,,,0,,,,,,,,,,11166546
5562564a-4e1e-4f8f-ba54-9b4d96fb2fa6,2026-05-12 14:34:37,java,n-body,6072,65451274,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,5629,111,1199574,0,0,0,,,,,,,,,0,,,,,,,,,,3922866
737f6a12-14fc-42ff-a9bd-b11e59732ed3,2026-05-12 14:31:16,java,k-nucleotide,1523,16417110,,,,,,,,,25419776,,,,,,,,,,,,,,,,,,0,,,,,,,,,,1103,35,381710,0,0,0,,,,,,,,,0,,,,,,,,,,769030
9f24c907-fb75-4dec-8122-e09f274c8aa0,2026-05-12 14:27:46,java,fannkuch-redux,33972,366160718,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,13547,257,2773289,0,0,0,,,,,,,,,0,,,,,,,,,,9441096
28cf91eb-a225-47d7-9f21-88fe6aed298e,2026-05-12 14:24:18,java,binary-trees,11139,120064775,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,14021,1576,16992200,0,0,0,,,,,,,,,0,,,,,,,,,,9771912
6e695f50-afe4-4f03-a91a-05197c89dff0,2026-05-12 14:20:48,java,mandelbrot,10013,107927227,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,4460,105,1132494,3,27199,0,,,,,,,,,184,,,,,,,,,,3108469
7e83a8f2-cdd4-4668-86b5-294f2cecc5f7,2026-05-12 14:17:01,java,fasta,4095,44142755,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,2259,105,1131157,0,0,0,,,,,,,,,0,,,,,,,,,,1574328
139c0a45-0176-4afe-867d-d197250f124b,2026-05-12 14:13:19,java,spectral-norm,2061,22212460,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,1202,26,278072,0,0,0,,,,,,,,,0,,,,,,,,,,837456
194361c1-7249-41af-ab48-942dd3e8e23d,2026-05-12 14:09:59,java,regex-redux,27530,296735664,,,,,,,,,50835456,,,,,,,,,,,,,,,,,,0,,,,,,,,,,15824,399,4298033,34,365111,0,,,,,,,,,2470,,,,,,,,,,11028427
9a0f2282-1d0e-4c49-b565-122ead83523b,2026-05-12 14:06:29,java,n-body,6131,66077313,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,5582,109,1178211,0,0,0,,,,,,,,,0,,,,,,,,,,3890204
23848552-deec-4ad7-8c30-aa2203b9af14,2026-05-12 14:02:51,java,k-nucleotide,1500,16166439,,,,,,,,,25419776,,,,,,,,,,,,,,,,,,0,,,,,,,,,,1020,33,353023,0,0,0,,,,,,,,,0,,,,,,,,,,711020
66720d2b-3ee7-406d-b96f-74f02d880775,2026-05-12 13:59:10,java,fannkuch-redux,32785,353370009,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,12986,248,2671053,0,0,0,,,,,,,,,0,,,,,,,,,,9050263
25c887a5-657d-4474-86a6-595f80476658,2026-05-12 13:55:43,java,binary-trees,11243,121186413,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,14066,1589,17129895,1,13599,0,,,,,,,,,92,,,,,,,,,,9802745
ed37b300-e0a6-429b-902b-0c859d111098,2026-05-12 13:52:12,java,mandelbrot,10026,108063887,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,4410,106,1137498,0,0,0,,,,,,,,,0,,,,,,,,,,3073535
da165083-8514-4462-b57f-7577d7126c92,2026-05-12 13:48:43,java,fasta,4076,43932550,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,2291,103,1108940,0,0,0,,,,,,,,,0,,,,,,,,,,1596348
24ed534d-5454-4863-b045-b16395986040,2026-05-12 13:45:07,java,spectral-norm,2072,22336483,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,1213,26,282589,0,0,0,,,,,,,,,0,,,,,,,,,,845048
5d94c672-46da-4c7e-a851-cf36caf564b8,2026-05-12 13:41:40,java,regex-redux,28354,305615298,,,,,,,,,50835456,,,,,,,,,,,,,,,,,,0,,,,,,,,,,16236,402,4331299,0,0,0,,,,,,,,,0,,,,,,,,,,11315472
ecf8bab7-0e82-4b12-ba83-fe4f82aba103,2026-05-12 13:38:11,java,n-body,6096,65707621,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,5608,112,1201953,0,0,0,,,,,,,,,0,,,,,,,,,,3908321
a1b56346-aa43-4bcf-a486-f201b703fd92,2026-05-12 13:34:38,java,k-nucleotide,1527,16460324,,,,,,,,,25419776,,,,,,,,,,,,,,,,,,0,,,,,,,,,,1072,35,378659,0,0,0,,,,,,,,,0,,,,,,,,,,746900
3c7d0806-f513-4943-bb45-0d6997db946a,2026-05-12 13:31:15,java,fannkuch-redux,33105,356820634,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,13249,253,2727208,0,0,0,,,,,,,,,0,,,,,,,,,,9233491
c3905cc2-da18-43c8-9a85-baeb4b1d390c,2026-05-12 13:27:49,java,binary-trees,12749,137418463,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,15615,1668,17980108,0,0,0,,,,,,,,,0,,,,,,,,,,10882462
f776548c-46e0-4770-85b1-74647191eaeb,2026-05-12 13:24:10,java,mandelbrot,9988,107656603,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,4420,104,1124438,0,0,0,,,,,,,,,0,,,,,,,,,,3080634
5495521b-dae0-415f-8557-236f6bcce19c,2026-05-12 13:20:16,java,fasta,4116,44364252,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,2329,106,1145865,11,121211,0,,,,,,,,,820,,,,,,,,,,1623397
6ddde137-e1fe-49d8-b61f-6f159d5f5502,2026-05-12 13:16:31,java,spectral-norm,2085,22468806,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,1243,28,301448,0,0,0,,,,,,,,,0,,,,,,,,,,866037
441cc1fd-76d7-4bbe-a06a-a2c88f821244,2026-05-12 13:13:13,java,regex-redux,27141,292539861,,,,,,,,,50835456,,,,,,,,,,,,,,,,,,0,,,,,,,,,,15649,391,4218080,0,0,0,,,,,,,,,0,,,,,,,,,,10906283
48873923-a805-4c79-9282-31c487b2587d,2026-05-12 13:09:43,java,n-body,6168,66483442,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,5607,112,1205249,0,0,0,,,,,,,,,0,,,,,,,,,,3907983
1b0b872b-899d-4a39-9077-119ca5c3b53d,2026-05-12 13:06:22,java,k-nucleotide,1413,15229611,,,,,,,,,25419776,,,,,,,,,,,,,,,,,,0,,,,,,,,,,979,32,349973,0,0,0,,,,,,,,,0,,,,,,,,,,682248
0addb9ed-f282-4be6-9e6d-016352f30c89,2026-05-12 13:03:00,java,fannkuch-redux,32979,355462176,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,13080,250,2691686,4,39911,0,,,,,,,,,270,,,,,,,,,,9116025
57011695-3629-40f9-84ec-f3c53c19436f,2026-05-12 12:59:34,java,binary-trees,11368,122529611,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,14021,1602,17268382,0,0,0,,,,,,,,,0,,,,,,,,,,9771853
f6ed4d19-ea5a-44c1-b978-ba4187171496,2026-05-12 12:56:05,java,mandelbrot,9983,107601306,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,4421,105,1133103,0,0,0,,,,,,,,,0,,,,,,,,,,3080867
664103ce-1a5c-4900-8a8f-928a0c0889b5,2026-05-12 12:52:37,java,fasta,4085,44026725,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,2264,106,1147332,0,0,0,,,,,,,,,0,,,,,,,,,,1578105
cfb955fc-d275-4bbc-a457-2f87aadd0aef,2026-05-12 12:49:01,java,spectral-norm,2073,22345699,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,1185,26,280757,0,0,0,,,,,,,,,0,,,,,,,,,,825821
4e52b361-9d06-430d-84f0-321346bfb5a3,2026-05-12 12:45:42,java,regex-redux,27692,298474064,,,,,,,,,50835456,,,,,,,,,,,,,,,,,,0,,,,,,,,,,15776,396,4268063,1,13599,0,,,,,,,,,92,,,,,,,,,,10994617
dcf96ff1-2b6a-4f03-90e5-04ca07c6b98d,2026-05-12 12:42:06,java,n-body,6213,66965371,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,5611,112,1206958,0,0,0,,,,,,,,,0,,,,,,,,,,3910158
efff92bd-4db8-46db-bc2f-bd109d807db4,2026-05-12 12:38:44,java,k-nucleotide,1511,16283749,,,,,,,,,25419776,,,,,,,,,,,,,,,,,,0,,,,,,,,,,1030,34,364804,0,0,0,,,,,,,,,0,,,,,,,,,,717893
c0da83a1-5c7f-4d7f-a30d-ff536ee02cc0,2026-05-12 12:35:23,java,fannkuch-redux,32989,355570937,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,13144,251,2704380,0,0,0,,,,,,,,,0,,,,,,,,,,9160167
e22998b5-9a20-4057-b1aa-8e8569d3c9cd,2026-05-12 12:31:56,java,binary-trees,11240,121148935,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,13958,1576,16986040,34,365111,0,,,,,,,,,2470,,,,,,,,,,9727797
db03fcc9-1c1d-4b45-82b5-5c4e163ff96a,2026-05-12 12:28:27,java,mandelbrot,9998,107758957,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,4425,105,1129320,0,0,0,,,,,,,,,0,,,,,,,,,,3084242
7c26030c-a1a9-4dce-aba0-c22629bb2d9d,2026-05-12 12:24:58,java,fasta,4039,43529168,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,2283,104,1115654,0,0,0,,,,,,,,,0,,,,,,,,,,1590932
4b0ad217-c4a4-47bd-9713-269a45611148,2026-05-12 12:21:18,java,spectral-norm,2086,22484495,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,1267,26,275386,0,0,0,,,,,,,,,0,,,,,,,,,,883333
ec47d094-4597-4161-8c3d-381b5d36a1c5,2026-05-12 12:17:59,java,regex-redux,26767,288504216,,,,,,,,,50835456,,,,,,,,,,,,,,,,,,0,,,,,,,,,,15480,390,4203187,34,365111,0,,,,,,,,,2470,,,,,,,,,,10788709
cd880434-01c1-41b3-b333-dc66bd975b6a,2026-05-12 12:14:29,java,n-body,6186,66671855,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,5583,112,1207325,0,0,0,,,,,,,,,0,,,,,,,,,,3891238
43a40a96-04ed-4791-a3a8-0a8f739b7bb2,2026-05-12 12:11:08,java,k-nucleotide,1506,16234615,,,,,,,,,25419776,,,,,,,,,,,,,,,,,,0,,,,,,,,,,1058,36,384944,0,0,0,,,,,,,,,0,,,,,,,,,,737671
2d4a2359-6905-4302-bce1-55224eb951e0,2026-05-12 12:07:45,java,fannkuch-redux,33018,355884471,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,13160,253,2722936,1,10347,0,,,,,,,,,70,,,,,,,,,,9171759
adcc0da5-96e8-486f-b0d8-5db5803c5764,2026-05-12 12:04:18,java,binary-trees,11862,127850783,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,14835,1627,17532417,0,0,0,,,,,,,,,0,,,,,,,,,,10339273
a5bcb329-642f-4e66-9fc7-b039bd3371d9,2026-05-12 12:00:48,java,mandelbrot,10018,107975878,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,4420,105,1132311,3,27199,0,,,,,,,,,184,,,,,,,,,,3080235
e6c03303-42bc-4151-9670-b2eb4e089849,2026-05-12 11:57:20,java,fasta,4755,51251028,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,2425,146,1577078,0,0,0,,,,,,,,,0,,,,,,,,,,1689812
2befd020-ef7e-4c4c-a920-acdf351ff191,2026-05-12 11:53:28,java,spectral-norm,2110,22739804,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,1268,29,309201,0,0,0,,,,,,,,,0,,,,,,,,,,883725
0d5a5ed3-2d96-4da2-a3bf-ea4eb49ef79f,2026-05-12 11:50:03,java,regex-redux,27431,295661986,,,,,,,,,50835456,,,,,,,,,,,,,,,,,,0,,,,,,,,,,15625,394,4243171,23,243900,0,,,,,,,,,1650,,,,,,,,,,10889394
c9e089b2-0be2-4dcc-beed-7e41cf4e0f5c,2026-05-12 11:46:35,java,n-body,6144,66225687,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,5595,108,1168445,0,0,0,,,,,,,,,0,,,,,,,,,,3899540
03863a61-01d9-4d2d-b693-de4c6d431d7c,2026-05-12 11:43:13,java,k-nucleotide,1500,16172299,,,,,,,,,25419776,,,,,,,,,,,,,,,,,,0,,,,,,,,,,1081,33,355100,0,0,0,,,,,,,,,0,,,,,,,,,,753425
14ff7306-752f-431b-a6db-1778c1c669b2,2026-05-12 11:39:52,java,fannkuch-redux,32941,355052682,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,13130,250,2694982,11,121211,0,,,,,,,,,820,,,,,,,,,,9150340
9c3781df-330d-47ec-8ffa-75dba128817a,2026-05-12 11:36:19,java,binary-trees,11999,129330515,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,14794,1625,17515388,0,0,0,,,,,,,,,0,,,,,,,,,,10310331
2c109ff4-7b05-41d3-b3b3-f598b043c13a,2026-05-12 11:32:49,java,mandelbrot,10038,108199140,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,4421,105,1131515,0,0,0,,,,,,,,,0,,,,,,,,,,3081031
6f1f0bbb-70f2-4f53-9bf8-9344a8b8308f,2026-05-12 11:29:21,java,fasta,4063,43793939,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,2270,102,1094231,0,0,0,,,,,,,,,0,,,,,,,,,,1581741
14cb8fdf-70de-4eb7-af1a-b99377ba5073,2026-05-12 11:25:45,java,spectral-norm,2081,22425227,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,1254,29,311456,0,0,0,,,,,,,,,0,,,,,,,,,,874171
c956c642-eb36-41e9-ab53-c5cfaed93345,2026-05-12 11:22:26,java,regex-redux,27740,298994388,,,,,,,,,50835456,,,,,,,,,,,,,,,,,,0,,,,,,,,,,15909,397,4276793,0,0,0,,,,,,,,,0,,,,,,,,,,11087326
257d087e-76c5-41d0-9821-4afc6191261a,2026-05-12 11:18:58,java,n-body,6069,65411727,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,5542,108,1164233,0,0,0,,,,,,,,,0,,,,,,,,,,3862432
a47e9ef6-6665-4c73-be9f-1cf71745021b,2026-05-12 11:15:29,java,k-nucleotide,1484,15992916,,,,,,,,,25419776,,,,,,,,,,,,,,,,,,0,,,,,,,,,,1043,33,352535,0,0,0,,,,,,,,,0,,,,,,,,,,727158
