run_id,measured_at,language,benchmark,cpu_carbon_rapl_msr_component-package_0-ug,cpu_energy_rapl_msr_component-package_0-uj,disk_total_read_cgroup_container-c_container-bytes,disk_total_read_cgroup_container-cpp_container-bytes,disk_total_read_cgroup_container-csharp_container-bytes,disk_total_read_cgroup_container-dart_container-bytes,disk_total_read_cgroup_container-erlang_container-bytes,disk_total_read_cgroup_container-fsharp_container-bytes,disk_total_read_cgroup_container-go_container-bytes,disk_total_read_cgroup_container-haskell_container-bytes,disk_total_read_cgroup_container-java_container-bytes,disk_total_read_cgroup_container-lua_container-bytes,disk_total_read_cgroup_container-node_container-bytes,disk_total_read_cgroup_container-ocaml_container-bytes,disk_total_read_cgroup_container-perl_container-bytes,disk_total_read_cgroup_container-php_container-bytes,disk_total_read_cgroup_container-python_container-bytes,disk_total_read_cgroup_container-ruby_container-bytes,disk_total_read_cgroup_container-rust_container-bytes,disk_total_read_cgroup_container-swift_container-bytes,disk_total_write_cgroup_container-c_container-bytes,disk_total_write_cgroup_container-cpp_container-bytes,disk_total_write_cgroup_container-csharp_container-bytes,disk_total_write_cgroup_container-dart_container-bytes,disk_total_write_cgroup_container-erlang_container-bytes,disk_total_write_cgroup_container-fsharp_container-bytes,disk_total_write_cgroup_container-go_container-bytes,disk_total_write_cgroup_container-haskell_container-bytes,disk_total_write_cgroup_container-java_container-bytes,disk_total_write_cgroup_container-lua_container-bytes,disk_total_write_cgroup_container-node_container-bytes,disk_total_write_cgroup_container-ocaml_container-bytes,disk_total_write_cgroup_container-perl_container-bytes,disk_total_write_cgroup_container-php_container-bytes,disk_total_write_cgroup_container-python_container-bytes,disk_total_write_cgroup_container-ruby_container-bytes,disk_total_write_cgroup_container-rust_container-bytes,disk_total_write_cgroup_container-swift_container-bytes,embodied_carbon_share_machine-system-ug,memory_carbon_rapl_msr_component-dram_0-ug,memory_energy_rapl_msr_component-dram_0-uj,network_carbon_formula_global-formula-ug,network_energy_formula_global-formula-uj,network_power_formula_global-formula-mw,network_total_cgroup_container-c_container-bytes,network_total_cgroup_container-cpp_container-bytes,network_total_cgroup_container-csharp_container-bytes,network_total_cgroup_container-dart_container-bytes,network_total_cgroup_container-erlang_container-bytes,network_total_cgroup_container-fsharp_container-bytes,network_total_cgroup_container-go_container-bytes,network_total_cgroup_container-haskell_container-bytes,network_total_cgroup_container-java_container-bytes,network_total_cgroup_container-lua_container-bytes,network_total_cgroup_container-node_container-bytes,network_total_cgroup_container-ocaml_container-bytes,network_total_cgroup_container-perl_container-bytes,network_total_cgroup_container-php_container-bytes,network_total_cgroup_container-python_container-bytes,network_total_cgroup_container-ruby_container-bytes,network_total_cgroup_container-rust_container-bytes,network_total_cgroup_container-swift_container-bytes,phase_time_syscall_system-system-us
402ecbf6-3589-4181-8001-e6b3a63decbc,2026-05-09 01:53:16,ocaml,mandelbrot,17636,190088350,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,7333,160,1725561,0,0,0,,,,,,,,,,,,0,,,,,,,5110860
93a7a1ea-7aae-4133-829c-36d3e830f4ae,2026-05-09 01:49:50,ocaml,fasta,6051,65223489,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,5683,169,1823285,0,0,0,,,,,,,,,,,,0,,,,,,,3960481
e0c65fee-5048-431a-9c91-84bf20d74fa8,2026-05-09 01:46:19,ocaml,spectral-norm,4129,44503038,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,49152,,,,,,,4347,86,930776,0,0,0,,,,,,,,,,,,0,,,,,,,3029397
7c06e95f-8241-4403-9e5f-449af0bdf2ce,2026-05-09 01:40:25,ocaml,regex-redux,3895,41987234,,,,,,,,,,,,50835456,,,,,,,,,,,,,,,,,,28672,,,,,,,3148,111,1200367,0,0,0,,,,,,,,,,,,0,,,,,,,2193634
f29dadad-cd73-4fcd-a129-4fdcfe09f728,2026-05-09 01:34:18,ocaml,n-body,6427,69268287,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,86016,,,,,,,6702,130,1398668,0,0,0,,,,,,,,,,,,0,,,,,,,4670974
43bab2ad-c52c-4489-8d24-53ea7e4eee31,2026-05-09 01:28:21,ocaml,k-nucleotide,2567,27669608,,,,,,,,,,,,25419776,,,,,,,,,,,,,,,,,,0,,,,,,,2388,105,1133475,0,0,0,,,,,,,,,,,,0,,,,,,,1664222
753b9f8c-b8c6-40cd-a31b-d6da12786121,2026-05-09 01:22:15,ocaml,fannkuch-redux,29760,320765403,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,94208,,,,,,,12017,231,2491123,0,0,0,,,,,,,,,,,,0,,,,,,,8375103
1e335e1e-865d-4811-861e-1f259586d76a,2026-05-09 01:16:15,ocaml,binary-trees,6654,71716842,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,4553,527,5676499,0,0,0,,,,,,,,,,,,0,,,,,,,3172847
8b288225-1657-47b2-8c04-7f6fa7c21eda,2026-05-09 01:10:07,ocaml,mandelbrot,17620,189914896,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,7364,163,1756382,0,0,0,,,,,,,,,,,,0,,,,,,,5132020
f4aeced1-fa48-411f-a219-3b4ea7f52144,2026-05-09 01:06:48,ocaml,fasta,6147,66254375,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,5643,170,1830307,0,0,0,,,,,,,,,,,,0,,,,,,,3933102
61997860-ba55-42ce-9047-3344f03b7a55,2026-05-09 01:03:11,ocaml,spectral-norm,4145,44676679,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,4385,88,946888,0,0,0,,,,,,,,,,,,0,,,,,,,3056096
