run_id,measured_at,language,benchmark,cpu_carbon_rapl_msr_component-package_0-ug,cpu_energy_rapl_msr_component-package_0-uj,disk_total_read_cgroup_container-c_container-bytes,disk_total_read_cgroup_container-cpp_container-bytes,disk_total_read_cgroup_container-csharp_container-bytes,disk_total_read_cgroup_container-dart_container-bytes,disk_total_read_cgroup_container-erlang_container-bytes,disk_total_read_cgroup_container-fsharp_container-bytes,disk_total_read_cgroup_container-go_container-bytes,disk_total_read_cgroup_container-haskell_container-bytes,disk_total_read_cgroup_container-java_container-bytes,disk_total_read_cgroup_container-lua_container-bytes,disk_total_read_cgroup_container-node_container-bytes,disk_total_read_cgroup_container-ocaml_container-bytes,disk_total_read_cgroup_container-perl_container-bytes,disk_total_read_cgroup_container-php_container-bytes,disk_total_read_cgroup_container-python_container-bytes,disk_total_read_cgroup_container-ruby_container-bytes,disk_total_read_cgroup_container-rust_container-bytes,disk_total_read_cgroup_container-swift_container-bytes,disk_total_write_cgroup_container-c_container-bytes,disk_total_write_cgroup_container-cpp_container-bytes,disk_total_write_cgroup_container-csharp_container-bytes,disk_total_write_cgroup_container-dart_container-bytes,disk_total_write_cgroup_container-erlang_container-bytes,disk_total_write_cgroup_container-fsharp_container-bytes,disk_total_write_cgroup_container-go_container-bytes,disk_total_write_cgroup_container-haskell_container-bytes,disk_total_write_cgroup_container-java_container-bytes,disk_total_write_cgroup_container-lua_container-bytes,disk_total_write_cgroup_container-node_container-bytes,disk_total_write_cgroup_container-ocaml_container-bytes,disk_total_write_cgroup_container-perl_container-bytes,disk_total_write_cgroup_container-php_container-bytes,disk_total_write_cgroup_container-python_container-bytes,disk_total_write_cgroup_container-ruby_container-bytes,disk_total_write_cgroup_container-rust_container-bytes,disk_total_write_cgroup_container-swift_container-bytes,embodied_carbon_share_machine-system-ug,memory_carbon_rapl_msr_component-dram_0-ug,memory_energy_rapl_msr_component-dram_0-uj,network_carbon_formula_global-formula-ug,network_energy_formula_global-formula-uj,network_power_formula_global-formula-mw,network_total_cgroup_container-c_container-bytes,network_total_cgroup_container-cpp_container-bytes,network_total_cgroup_container-csharp_container-bytes,network_total_cgroup_container-dart_container-bytes,network_total_cgroup_container-erlang_container-bytes,network_total_cgroup_container-fsharp_container-bytes,network_total_cgroup_container-go_container-bytes,network_total_cgroup_container-haskell_container-bytes,network_total_cgroup_container-java_container-bytes,network_total_cgroup_container-lua_container-bytes,network_total_cgroup_container-node_container-bytes,network_total_cgroup_container-ocaml_container-bytes,network_total_cgroup_container-perl_container-bytes,network_total_cgroup_container-php_container-bytes,network_total_cgroup_container-python_container-bytes,network_total_cgroup_container-ruby_container-bytes,network_total_cgroup_container-rust_container-bytes,network_total_cgroup_container-swift_container-bytes,phase_time_syscall_system-system-us
819de83f-8dd6-4b04-b6d2-9279f39d9cad,2026-05-10 00:21:42,php,mandelbrot,184890,1992822612,,,,,,,,,,,,,,57344,,,,,,,,,,,,,,,,,,196608,,,,,75276,1427,15382368,43,462671,0,,,,,,,,,,,,,,3130,,,,,52462250
de176a66-864a-4205-8e77-e62fca3a9228,2026-05-10 00:17:54,php,fasta,54808,590745628,,,,,,,,,,,,,,57344,,,,,,,,,,,,,,,,,,139264,,,,,43108,852,9179886,0,0,0,,,,,,,,,,,,,,0,,,,,30042860
521f7fff-64a0-4e49-b1ec-46aa24e47931,2026-05-10 00:14:18,php,spectral-norm,54832,590999201,,,,,,,,,,,,,,176128,,,,,,,,,,,,,,,,,,106496,,,,,21795,420,4530453,0,0,0,,,,,,,,,,,,,,0,,,,,15189643
0111d1b9-feb5-4f6b-907d-deff119b588e,2026-05-10 00:11:11,php,regex-redux,3704,39925039,,,,,,,,,,,,,,50892800,,,,,,,,,,,,,,,,,,45056,,,,,2832,92,995351,0,0,0,,,,,,,,,,,,,,0,,,,,1973465
e20836de-d153-4207-b0bf-14cd8323a99a,2026-05-10 00:08:18,php,n-body,199732,2152802688,,,,,,,,,,,,,,176128,,,,,,,,,,,,,,,,,,389120,,,,,169789,3125,33681963,9,94752,0,,,,,,,,,,,,,,641,,,,,118330898
fcaa1a2e-a764-4c6d-b376-164d8bb0c019,2026-05-10 00:03:28,php,k-nucleotide,6277,67651662,,,,,,,,,,,,,,25595904,,,,,,,,,,,,,,,,,,0,,,,,3237,150,1618154,0,0,0,,,,,,,,,,,,,,0,,,,,2256160
68ba510d-8b3a-4aa3-b945-d259a37b55b8,2026-05-10 00:00:27,php,fannkuch-redux,385188,4151726180,,,,,,,,,,,,,,57344,,,,,,,,,,,,,,,,,,0,,,,,160398,2984,32165443,14,149888,0,,,,,,,,,,,,,,1014,,,,,111785990
416b4e23-f71d-434e-997a-af747d47fd48,2026-05-09 23:55:43,php,binary-trees,42943,462863315,,,,,,,,,,,,,,57344,,,,,,,,,,,,,,,,,,94208,,,,,25173,2723,29345251,0,0,0,,,,,,,,,,,,,,0,,,,,17544063
0aca763d-cf79-44f2-854d-a019d0cc97e5,2026-05-09 23:52:30,php,mandelbrot,185699,2001546126,,,,,,,,,,,,,,57344,,,,,,,,,,,,,,,,,,249856,,,,,75185,1434,15460409,39,419952,0,,,,,,,,,,,,,,2841,,,,,52398600
cc974b7f-cc0e-4f09-a7d8-5e748a881253,2026-05-09 23:48:41,php,fasta,53191,573311939,,,,,,,,,,,,,,57344,,,,,,,,,,,,,,,,,,0,,,,,41691,824,8878738,0,0,0,,,,,,,,,,,,,,0,,,,,29055534
