run_id,measured_at,language,benchmark,cpu_carbon_rapl_msr_component-package_0-ug,cpu_energy_rapl_msr_component-package_0-uj,disk_total_read_cgroup_container-c_container-bytes,disk_total_read_cgroup_container-cpp_container-bytes,disk_total_read_cgroup_container-csharp_container-bytes,disk_total_read_cgroup_container-dart_container-bytes,disk_total_read_cgroup_container-erlang_container-bytes,disk_total_read_cgroup_container-fsharp_container-bytes,disk_total_read_cgroup_container-go_container-bytes,disk_total_read_cgroup_container-haskell_container-bytes,disk_total_read_cgroup_container-java_container-bytes,disk_total_read_cgroup_container-lua_container-bytes,disk_total_read_cgroup_container-node_container-bytes,disk_total_read_cgroup_container-ocaml_container-bytes,disk_total_read_cgroup_container-perl_container-bytes,disk_total_read_cgroup_container-php_container-bytes,disk_total_read_cgroup_container-python_container-bytes,disk_total_read_cgroup_container-ruby_container-bytes,disk_total_read_cgroup_container-rust_container-bytes,disk_total_read_cgroup_container-swift_container-bytes,disk_total_write_cgroup_container-c_container-bytes,disk_total_write_cgroup_container-cpp_container-bytes,disk_total_write_cgroup_container-csharp_container-bytes,disk_total_write_cgroup_container-dart_container-bytes,disk_total_write_cgroup_container-erlang_container-bytes,disk_total_write_cgroup_container-fsharp_container-bytes,disk_total_write_cgroup_container-go_container-bytes,disk_total_write_cgroup_container-haskell_container-bytes,disk_total_write_cgroup_container-java_container-bytes,disk_total_write_cgroup_container-lua_container-bytes,disk_total_write_cgroup_container-node_container-bytes,disk_total_write_cgroup_container-ocaml_container-bytes,disk_total_write_cgroup_container-perl_container-bytes,disk_total_write_cgroup_container-php_container-bytes,disk_total_write_cgroup_container-python_container-bytes,disk_total_write_cgroup_container-ruby_container-bytes,disk_total_write_cgroup_container-rust_container-bytes,disk_total_write_cgroup_container-swift_container-bytes,embodied_carbon_share_machine-system-ug,memory_carbon_rapl_msr_component-dram_0-ug,memory_energy_rapl_msr_component-dram_0-uj,network_carbon_formula_global-formula-ug,network_energy_formula_global-formula-uj,network_power_formula_global-formula-mw,network_total_cgroup_container-c_container-bytes,network_total_cgroup_container-cpp_container-bytes,network_total_cgroup_container-csharp_container-bytes,network_total_cgroup_container-dart_container-bytes,network_total_cgroup_container-erlang_container-bytes,network_total_cgroup_container-fsharp_container-bytes,network_total_cgroup_container-go_container-bytes,network_total_cgroup_container-haskell_container-bytes,network_total_cgroup_container-java_container-bytes,network_total_cgroup_container-lua_container-bytes,network_total_cgroup_container-node_container-bytes,network_total_cgroup_container-ocaml_container-bytes,network_total_cgroup_container-perl_container-bytes,network_total_cgroup_container-php_container-bytes,network_total_cgroup_container-python_container-bytes,network_total_cgroup_container-ruby_container-bytes,network_total_cgroup_container-rust_container-bytes,network_total_cgroup_container-swift_container-bytes,phase_time_syscall_system-system-us
742eaf32-a40b-40a8-983b-0a91306b3aee,2026-05-15 19:24:03,python,mandelbrot,651527,7022442427,,,,,,,,,,,,,,,200704,,,,,,,,,,,,,,,,,,1310720,,,,283271,5355,57723183,57,611820,0,,,,,,,,,,,,,,,4139,,,,197419644
e027b040-ed05-46eb-8ae8-2508f6ce48ff,2026-05-15 19:17:56,python,fasta,70212,756779818,,,,,,,,,,,,,,,380928,,,,,,,,,,,,,,,,,,1155072,,,,41276,1488,16042452,0,0,0,,,,,,,,,,,,,,,0,,,,28766345
c0de2a54-fa58-4fa0-af29-f3741a01ded6,2026-05-15 19:14:26,python,spectral-norm,368283,3969519873,,,,,,,,,,,,,,,200704,,,,,,,,,,,,,,,,,,1310720,,,,160647,3016,32506398,9,94752,0,,,,,,,,,,,,,,,641,,,,111959393
a3af051e-0cbb-4641-b07a-6e8eeba8b40f,2026-05-15 19:09:52,python,regex-redux,16794,181016925,,,,,,,,,,,,,,,51036160,,,,,,,,,,,,,,,,,,0,,,,11822,316,3404676,0,0,0,,,,,,,,,,,,,,,0,,,,8239157
3286814e-67c8-4df2-99c9-d8262bbba908,2026-05-15 19:07:00,python,n-body,550415,5932614031,,,,,,,,,,,,,,,4096,,,,,,,,,,,,,,,,,,24576,,,,467428,8605,92750058,94,1016842,0,,,,,,,,,,,,,,,6879,,,,325763706
fa844e3f-e2ba-4e0c-995d-ab3e657d73f0,2026-05-15 18:58:51,python,k-nucleotide,17269,186131141,,,,,,,,,,,,,,,25624576,,,,,,,,,,,,,,,,,,1310720,,,,7866,394,4245580,0,0,0,,,,,,,,,,,,,,,0,,,,5481839
0f930093-c3d4-4989-91a2-0e70cfa2f08b,2026-05-15 18:56:02,python,fannkuch-redux,1296210,13971126808,,,,,,,,,,,,,,,200704,,,,,,,,,,,,,,,,,,1310720,,,,603531,11119,119849345,60,648331,0,,,,,,,,,,,,,,,4386,,,,420617807
0252ea1b-cd17-4ad7-a0cf-62acc387c7c3,2026-05-15 18:46:18,python,binary-trees,106040,1142950634,,,,,,,,,,,,,,,200704,,,,,,,,,,,,,,,,,,1445888,,,,50123,2664,28710099,34,365111,0,,,,,,,,,,,,,,,2470,,,,34931801
364660ca-0fce-44bc-89b1-8bd2634c2ce5,2026-05-15 18:42:44,python,mandelbrot,651137,7018248405,,,,,,,,,,,,,,,200704,,,,,,,,,,,,,,,,,,1310720,,,,281966,5325,57392316,90,966584,0,,,,,,,,,,,,,,,6539,,,,196509715
3a03fc91-3a00-4e05-8981-0823a196c8ea,2026-05-15 18:36:36,python,fasta,70218,756839338,,,,,,,,,,,,,,,380928,,,,,,,,,,,,,,,,,,1155072,,,,39942,1454,15676085,34,365111,0,,,,,,,,,,,,,,,2470,,,,27836905
