run_id,measured_at,language,benchmark,cpu_carbon_rapl_msr_component-package_0-ug,cpu_energy_rapl_msr_component-package_0-uj,disk_total_read_cgroup_container-c_container-bytes,disk_total_read_cgroup_container-cpp_container-bytes,disk_total_read_cgroup_container-csharp_container-bytes,disk_total_read_cgroup_container-dart_container-bytes,disk_total_read_cgroup_container-erlang_container-bytes,disk_total_read_cgroup_container-fsharp_container-bytes,disk_total_read_cgroup_container-go_container-bytes,disk_total_read_cgroup_container-haskell_container-bytes,disk_total_read_cgroup_container-java_container-bytes,disk_total_read_cgroup_container-lua_container-bytes,disk_total_read_cgroup_container-node_container-bytes,disk_total_read_cgroup_container-ocaml_container-bytes,disk_total_read_cgroup_container-perl_container-bytes,disk_total_read_cgroup_container-php_container-bytes,disk_total_read_cgroup_container-python_container-bytes,disk_total_read_cgroup_container-ruby_container-bytes,disk_total_read_cgroup_container-rust_container-bytes,disk_total_read_cgroup_container-swift_container-bytes,disk_total_write_cgroup_container-c_container-bytes,disk_total_write_cgroup_container-cpp_container-bytes,disk_total_write_cgroup_container-csharp_container-bytes,disk_total_write_cgroup_container-dart_container-bytes,disk_total_write_cgroup_container-erlang_container-bytes,disk_total_write_cgroup_container-fsharp_container-bytes,disk_total_write_cgroup_container-go_container-bytes,disk_total_write_cgroup_container-haskell_container-bytes,disk_total_write_cgroup_container-java_container-bytes,disk_total_write_cgroup_container-lua_container-bytes,disk_total_write_cgroup_container-node_container-bytes,disk_total_write_cgroup_container-ocaml_container-bytes,disk_total_write_cgroup_container-perl_container-bytes,disk_total_write_cgroup_container-php_container-bytes,disk_total_write_cgroup_container-python_container-bytes,disk_total_write_cgroup_container-ruby_container-bytes,disk_total_write_cgroup_container-rust_container-bytes,disk_total_write_cgroup_container-swift_container-bytes,embodied_carbon_share_machine-system-ug,memory_carbon_rapl_msr_component-dram_0-ug,memory_energy_rapl_msr_component-dram_0-uj,network_carbon_formula_global-formula-ug,network_energy_formula_global-formula-uj,network_power_formula_global-formula-mw,network_total_cgroup_container-c_container-bytes,network_total_cgroup_container-cpp_container-bytes,network_total_cgroup_container-csharp_container-bytes,network_total_cgroup_container-dart_container-bytes,network_total_cgroup_container-erlang_container-bytes,network_total_cgroup_container-fsharp_container-bytes,network_total_cgroup_container-go_container-bytes,network_total_cgroup_container-haskell_container-bytes,network_total_cgroup_container-java_container-bytes,network_total_cgroup_container-lua_container-bytes,network_total_cgroup_container-node_container-bytes,network_total_cgroup_container-ocaml_container-bytes,network_total_cgroup_container-perl_container-bytes,network_total_cgroup_container-php_container-bytes,network_total_cgroup_container-python_container-bytes,network_total_cgroup_container-ruby_container-bytes,network_total_cgroup_container-rust_container-bytes,network_total_cgroup_container-swift_container-bytes,phase_time_syscall_system-system-us
ae7f9b33-b694-4137-b5a0-dcb18eff23c6,2026-05-12 21:06:42,ruby,mandelbrot,420040,4527379872,,,,,,,,,,,,,,,,8126464,,,,,,,,,,,,,,,,,,0,,,176954,3499,37718545,52,556979,0,,,,,,,,,,,,,,,,3768,,,123323882
b0fb0b1f-7057-4141-94bc-cb634cfc8ac6,2026-05-12 21:01:50,ruby,fasta,48729,525226550,,,,,,,,,,,,,,,,8060928,,,,,,,,,,,,,,,,,,0,,,37902,814,8777233,0,0,0,,,,,,,,,,,,,,,,0,,,26415162
1398c885-1e80-4ae6-a2a4-fe66380daf3f,2026-05-12 20:58:24,ruby,spectral-norm,173133,1866100456,,,,,,,,,,,,,,,,8126464,,,,,,,,,,,,,,,,,,0,,,72653,1422,15331657,35,375458,0,,,,,,,,,,,,,,,,2540,,,50633950
93519f7f-6584-4821-826b-ceea54c700ec,2026-05-12 20:54:52,ruby,regex-redux,21445,231140692,,,,,,,,,,,,,,,,58961920,,,,,,,,,,,,,,,,,,0,,,14785,455,4901866,0,0,0,,,,,,,,,,,,,,,,0,,,10303895
44bb54e4-268d-4ae4-a932-556cadaa0194,2026-05-12 20:52:01,ruby,n-body,173159,1866388068,,,,,,,,,,,,,,,,8060928,,,,,,,,,,,,,,,,,,0,,,156946,2888,31130219,52,556979,0,,,,,,,,,,,,,,,,3768,,,109380184
c0e5128d-f0d6-4315-87ec-5efdc2cc8ac1,2026-05-12 20:47:31,ruby,k-nucleotide,28474,306900468,,,,,,,,,,,,,,,,33546240,,,,,,,,,,,,,,,,,,0,,,12177,987,10640094,0,0,0,,,,,,,,,,,,,,,,0,,,8486398
06634c6c-d436-438a-911e-22fc4febb08d,2026-05-12 20:44:41,ruby,fannkuch-redux,629403,6783983550,,,,,,,,,,,,,,,,8126464,,,,,,,,,,,,,,,,,,0,,,271276,5004,53933746,47,504356,0,,,,,,,,,,,,,,,,3412,,,189059838
2b468ac2-581f-4706-bbec-2203fe822c5d,2026-05-12 20:38:51,ruby,binary-trees,57093,615377878,,,,,,,,,,,,,,,,8126464,,,,,,,,,,,,,,,,,,0,,,30812,2231,24048042,0,0,0,,,,,,,,,,,,,,,,0,,,21473813
f4a33774-8915-475a-8d19-25477688e777,2026-05-12 20:35:40,ruby,mandelbrot,421285,4540794729,,,,,,,,,,,,,,,,8126464,,,,,,,,,,,,,,,,,,0,,,176938,3498,37702745,43,459863,0,,,,,,,,,,,,,,,,3111,,,123313077
8e4c763c-41e4-4dac-a617-105a17036f42,2026-05-12 20:30:48,ruby,fasta,47506,512039365,,,,,,,,,,,,,,,,8060928,,,,,,,,,,,,,,,,,,0,,,37868,815,8784862,0,0,0,,,,,,,,,,,,,,,,0,,,26391167
