run_id,measured_at,language,benchmark,cpu_carbon_rapl_msr_component-package_0-ug,cpu_energy_rapl_msr_component-package_0-uj,disk_total_read_cgroup_container-c_container-bytes,disk_total_read_cgroup_container-cpp_container-bytes,disk_total_read_cgroup_container-csharp_container-bytes,disk_total_read_cgroup_container-dart_container-bytes,disk_total_read_cgroup_container-erlang_container-bytes,disk_total_read_cgroup_container-fsharp_container-bytes,disk_total_read_cgroup_container-go_container-bytes,disk_total_read_cgroup_container-haskell_container-bytes,disk_total_read_cgroup_container-java_container-bytes,disk_total_read_cgroup_container-lua_container-bytes,disk_total_read_cgroup_container-node_container-bytes,disk_total_read_cgroup_container-ocaml_container-bytes,disk_total_read_cgroup_container-perl_container-bytes,disk_total_read_cgroup_container-php_container-bytes,disk_total_read_cgroup_container-python_container-bytes,disk_total_read_cgroup_container-ruby_container-bytes,disk_total_read_cgroup_container-rust_container-bytes,disk_total_read_cgroup_container-swift_container-bytes,disk_total_write_cgroup_container-c_container-bytes,disk_total_write_cgroup_container-cpp_container-bytes,disk_total_write_cgroup_container-csharp_container-bytes,disk_total_write_cgroup_container-dart_container-bytes,disk_total_write_cgroup_container-erlang_container-bytes,disk_total_write_cgroup_container-fsharp_container-bytes,disk_total_write_cgroup_container-go_container-bytes,disk_total_write_cgroup_container-haskell_container-bytes,disk_total_write_cgroup_container-java_container-bytes,disk_total_write_cgroup_container-lua_container-bytes,disk_total_write_cgroup_container-node_container-bytes,disk_total_write_cgroup_container-ocaml_container-bytes,disk_total_write_cgroup_container-perl_container-bytes,disk_total_write_cgroup_container-php_container-bytes,disk_total_write_cgroup_container-python_container-bytes,disk_total_write_cgroup_container-ruby_container-bytes,disk_total_write_cgroup_container-rust_container-bytes,disk_total_write_cgroup_container-swift_container-bytes,embodied_carbon_share_machine-system-ug,memory_carbon_rapl_msr_component-dram_0-ug,memory_energy_rapl_msr_component-dram_0-uj,network_carbon_formula_global-formula-ug,network_energy_formula_global-formula-uj,network_power_formula_global-formula-mw,network_total_cgroup_container-c_container-bytes,network_total_cgroup_container-cpp_container-bytes,network_total_cgroup_container-csharp_container-bytes,network_total_cgroup_container-dart_container-bytes,network_total_cgroup_container-erlang_container-bytes,network_total_cgroup_container-fsharp_container-bytes,network_total_cgroup_container-go_container-bytes,network_total_cgroup_container-haskell_container-bytes,network_total_cgroup_container-java_container-bytes,network_total_cgroup_container-lua_container-bytes,network_total_cgroup_container-node_container-bytes,network_total_cgroup_container-ocaml_container-bytes,network_total_cgroup_container-perl_container-bytes,network_total_cgroup_container-php_container-bytes,network_total_cgroup_container-python_container-bytes,network_total_cgroup_container-ruby_container-bytes,network_total_cgroup_container-rust_container-bytes,network_total_cgroup_container-swift_container-bytes,phase_time_syscall_system-system-us
4867bef2-f45f-49b6-88f6-0db5e6df63d8,2026-05-15 11:21:19,rust,mandelbrot,3174,34213983,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,1716,56,602594,0,0,0,,,,,,,,,,,,,,,,,0,,1195642
4425c4c1-28a1-48cb-8c73-2cebe57e276c,2026-05-15 11:18:17,rust,fasta,3941,42473565,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,2258,97,1050772,15,162600,0,,,,,,,,,,,,,,,,,1100,,1573941
c5c99e1d-0f21-42e6-86d8-7eb68ffc46d4,2026-05-15 11:14:50,rust,spectral-norm,1572,16947630,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,858,20,218320,0,0,0,,,,,,,,,,,,,,,,,0,,598141
5e7dc293-de15-4593-8ba0-729e3ed0e386,2026-05-15 11:11:52,rust,regex-redux,2147,23142386,,,,,,,,,,,,,,,,,50835456,,,,,,,,,,,,,,,,,,0,,2423,72,776359,0,0,0,,,,,,,,,,,,,,,,,0,,1688372
65a183af-4601-4f3a-8330-853bc2342821,2026-05-15 11:08:44,rust,n-body,3856,41561143,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,3993,80,857595,0,0,0,,,,,,,,,,,,,,,,,0,,2782970
e11783e2-7bf9-4679-b8d7-96d9afd12835,2026-05-15 11:05:50,rust,k-nucleotide,534,5753903,,,,,,,,,,,,,,,,,25419776,,,,,,,,,,,,,,,,,,0,,693,24,260496,0,0,0,,,,,,,,,,,,,,,,,0,,482870
ca42a9c9-6f70-4394-8243-45506abc0951,2026-05-15 11:02:48,rust,fannkuch-redux,8150,87842884,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,3614,71,760368,0,0,0,,,,,,,,,,,,,,,,,0,,2518608
4efb34e5-ce8c-4586-a1e3-5b1fb68f7f6c,2026-05-15 10:59:46,rust,binary-trees,25083,270353156,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,14492,363,3916206,0,0,0,,,,,,,,,,,,,,,,,0,,10099961
f8dd2a57-0219-4344-b122-fe670244a895,2026-05-15 10:56:32,rust,mandelbrot,3167,34134759,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,1732,53,575736,0,0,0,,,,,,,,,,,,,,,,,0,,1207049
022cef91-10ad-4f55-b79f-dac0e3e582db,2026-05-15 10:53:30,rust,fasta,3805,41011469,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,65536,,2158,94,1008780,0,0,0,,,,,,,,,,,,,,,,,0,,1503725
